Tile,Channel,Type,LocalPosition
0,0,X,-48.0000
0,1,X,-42.0000
0,2,X,-36.0000
0,3,X,-30.0000
0,4,X,-24.0000
0,5,X,-18.0000
0,6,X,-12.0000
0,7,X,-6.0000
0,8,X,0.0000
0,9,X,6.0000
0,10,X,12.0000
0,11,X,18.0000
0,12,X,24.0000
0,13,X,30.0000
0,14,X,36.0000
0,15,X,42.0000
0,16,Y,-48.0000
0,17,Y,-42.0000
0,18,Y,-36.0000
0,19,Y,-30.0000
0,20,Y,-24.0000
0,21,Y,-18.0000
0,22,Y,-12.0000
0,23,Y,-6.0000
0,24,Y,0.0000
0,25,Y,6.0000
0,26,Y,12.0000
0,27,Y,18.0000
0,28,Y,24.0000
0,29,Y,30.0000
0,30,Y,36.0000
0,31,Y,42.0000
1,32,X,-48.0000
1,33,X,-42.0000
1,34,X,-36.0000
1,35,X,-30.0000
1,36,X,-24.0000
1,37,X,-18.0000
1,38,X,-12.0000
1,39,X,-6.0000
1,40,X,0.0000
1,41,X,6.0000
1,42,X,12.0000
1,43,X,18.0000
1,44,X,24.0000
1,45,X,30.0000
1,46,X,36.0000
1,47,X,42.0000
1,48,Y,-48.0000
1,49,Y,-42.0000
1,50,Y,-36.0000
1,51,Y,-30.0000
1,52,Y,-24.0000
1,53,Y,-18.0000
1,54,Y,-12.0000
1,55,Y,-6.0000
1,56,Y,0.0000
1,57,Y,6.0000
1,58,Y,12.0000
1,59,Y,18.0000
1,60,Y,24.0000
1,61,Y,30.0000
1,62,Y,36.0000
1,63,Y,42.0000
