Tile,Channel,Type,LocalPosition
0,0,X,-48.0
0,1,X,-42.0
0,2,X,-36.0
0,3,X,-30.0
0,4,X,-24.0
0,5,X,-18.0
0,6,X,-12.0
0,7,X,-6.0
0,8,X,0.0
0,9,X,6.0
0,10,X,12.0
0,11,X,18.0
0,12,X,24.0
0,13,X,30.0
0,14,X,36.0
0,15,X,42.0
0,16,Y,-48.0
0,17,Y,-42.0
0,18,Y,-36.0
0,19,Y,-30.0
0,20,Y,-24.0
0,21,Y,-18.0
0,22,Y,-12.0
0,23,Y,-6.0
0,24,Y,0.0
0,25,Y,6.0
0,26,Y,12.0
0,27,Y,18.0
0,28,Y,24.0
0,29,Y,30.0
0,30,Y,36.0
0,31,Y,42.0
1,32,X,-48.0
1,33,X,-42.0
1,34,X,-36.0
1,35,X,-30.0
1,36,X,-24.0
1,37,X,-18.0
1,38,X,-12.0
1,39,X,-6.0
1,40,X,0.0
1,41,X,6.0
1,42,X,12.0
1,43,X,18.0
1,44,X,24.0
1,45,X,30.0
1,46,X,36.0
1,47,X,42.0
1,48,Y,-48.0
1,49,Y,-42.0
1,50,Y,-36.0
1,51,Y,-30.0
1,52,Y,-24.0
1,53,Y,-18.0
1,54,Y,-12.0
1,55,Y,-6.0
1,56,Y,0.0
1,57,Y,6.0
1,58,Y,12.0
1,59,Y,18.0
1,60,Y,24.0
1,61,Y,30.0
1,62,Y,36.0
1,63,Y,42.0
2,64,X,-48.0
2,65,X,-42.0
2,66,X,-36.0
2,67,X,-30.0
2,68,X,-24.0
2,69,X,-18.0
2,70,X,-12.0
2,71,X,-6.0
2,72,X,0.0
2,73,X,6.0
2,74,X,12.0
2,75,X,18.0
2,76,X,24.0
2,77,X,30.0
2,78,X,36.0
2,79,X,42.0
2,80,Y,-48.0
2,81,Y,-42.0
2,82,Y,-36.0
2,83,Y,-30.0
2,84,Y,-24.0
2,85,Y,-18.0
2,86,Y,-12.0
2,87,Y,-6.0
2,88,Y,0.0
2,89,Y,6.0
2,90,Y,12.0
2,91,Y,18.0
2,92,Y,24.0
2,93,Y,30.0
2,94,Y,36.0
2,95,Y,42.0
3,96,X,-48.0
3,97,X,-42.0
3,98,X,-36.0
3,99,X,-30.0
3,100,X,-24.0
3,101,X,-18.0
3,102,X,-12.0
3,103,X,-6.0
3,104,X,0.0
3,105,X,6.0
3,106,X,12.0
3,107,X,18.0
3,108,X,24.0
3,109,X,30.0
3,110,X,36.0
3,111,X,42.0
3,112,Y,-48.0
3,113,Y,-42.0
3,114,Y,-36.0
3,115,Y,-30.0
3,116,Y,-24.0
3,117,Y,-18.0
3,118,Y,-12.0
3,119,Y,-6.0
3,120,Y,0.0
3,121,Y,6.0
3,122,Y,12.0
3,123,Y,18.0
3,124,Y,24.0
3,125,Y,30.0
3,126,Y,36.0
3,127,Y,42.0
