Tile,X,Y
0,-624.0000,-336.0000
1,-624.0000,-240.0000
2,-624.0000,-144.0000
3,-624.0000,-48.0000
4,-624.0000,48.0000
5,-624.0000,144.0000
6,-624.0000,240.0000
7,-624.0000,336.0000
8,-528.0000,-432.0000
9,-528.0000,-336.0000
10,-528.0000,-240.0000
11,-528.0000,-144.0000
12,-528.0000,-48.0000
13,-528.0000,48.0000
14,-528.0000,144.0000
15,-528.0000,240.0000
16,-528.0000,336.0000
17,-528.0000,432.0000
18,-432.0000,-528.0000
19,-432.0000,-432.0000
20,-432.0000,-336.0000
21,-432.0000,-240.0000
22,-432.0000,-144.0000
23,-432.0000,-48.0000
24,-432.0000,48.0000
25,-432.0000,144.0000
26,-432.0000,240.0000
27,-432.0000,336.0000
28,-432.0000,432.0000
29,-432.0000,528.0000
30,-336.0000,-624.0000
31,-336.0000,-528.0000
32,-336.0000,-432.0000
33,-336.0000,-336.0000
34,-336.0000,-240.0000
35,-336.0000,-144.0000
36,-336.0000,-48.0000
37,-336.0000,48.0000
38,-336.0000,144.0000
39,-336.0000,240.0000
40,-336.0000,336.0000
41,-336.0000,432.0000
42,-336.0000,528.0000
43,-336.0000,624.0000
44,-240.0000,-624.0000
45,-240.0000,-528.0000
46,-240.0000,-432.0000
47,-240.0000,-336.0000
48,-240.0000,-240.0000
49,-240.0000,-144.0000
50,-240.0000,-48.0000
51,-240.0000,48.0000
52,-240.0000,144.0000
53,-240.0000,240.0000
54,-240.0000,336.0000
55,-240.0000,432.0000
56,-240.0000,528.0000
57,-240.0000,624.0000
58,-144.0000,-624.0000
59,-144.0000,-528.0000
60,-144.0000,-432.0000
61,-144.0000,-336.0000
62,-144.0000,-240.0000
63,-144.0000,-144.0000
64,-144.0000,-48.0000
65,-144.0000,48.0000
66,-144.0000,144.0000
67,-144.0000,240.0000
68,-144.0000,336.0000
69,-144.0000,432.0000
70,-144.0000,528.0000
71,-144.0000,624.0000
72,-48.0000,-624.0000
73,-48.0000,-528.0000
74,-48.0000,-432.0000
75,-48.0000,-336.0000
76,-48.0000,-240.0000
77,-48.0000,-144.0000
78,-48.0000,-48.0000
79,-48.0000,48.0000
80,-48.0000,144.0000
81,-48.0000,240.0000
82,-48.0000,336.0000
83,-48.0000,432.0000
84,-48.0000,528.0000
85,-48.0000,624.0000
86,48.0000,-624.0000
87,48.0000,-528.0000
88,48.0000,-432.0000
89,48.0000,-336.0000
90,48.0000,-240.0000
91,48.0000,-144.0000
92,48.0000,-48.0000
93,48.0000,48.0000
94,48.0000,144.0000
95,48.0000,240.0000
96,48.0000,336.0000
97,48.0000,432.0000
98,48.0000,528.0000
99,48.0000,624.0000
100,144.0000,-624.0000
101,144.0000,-528.0000
102,144.0000,-432.0000
103,144.0000,-336.0000
104,144.0000,-240.0000
105,144.0000,-144.0000
106,144.0000,-48.0000
107,144.0000,48.0000
108,144.0000,144.0000
109,144.0000,240.0000
110,144.0000,336.0000
111,144.0000,432.0000
112,144.0000,528.0000
113,144.0000,624.0000
114,240.0000,-624.0000
115,240.0000,-528.0000
116,240.0000,-432.0000
117,240.0000,-336.0000
118,240.0000,-240.0000
119,240.0000,-144.0000
120,240.0000,-48.0000
121,240.0000,48.0000
122,240.0000,144.0000
123,240.0000,240.0000
124,240.0000,336.0000
125,240.0000,432.0000
126,240.0000,528.0000
127,240.0000,624.0000
128,336.0000,-624.0000
129,336.0000,-528.0000
130,336.0000,-432.0000
131,336.0000,-336.0000
132,336.0000,-240.0000
133,336.0000,-144.0000
134,336.0000,-48.0000
135,336.0000,48.0000
136,336.0000,144.0000
137,336.0000,240.0000
138,336.0000,336.0000
139,336.0000,432.0000
140,336.0000,528.0000
141,336.0000,624.0000
142,432.0000,-528.0000
143,432.0000,-432.0000
144,432.0000,-336.0000
145,432.0000,-240.0000
146,432.0000,-144.0000
147,432.0000,-48.0000
148,432.0000,48.0000
149,432.0000,144.0000
150,432.0000,240.0000
151,432.0000,336.0000
152,432.0000,432.0000
153,432.0000,528.0000
154,528.0000,-432.0000
155,528.0000,-336.0000
156,528.0000,-240.0000
157,528.0000,-144.0000
158,528.0000,-48.0000
159,528.0000,48.0000
160,528.0000,144.0000
161,528.0000,240.0000
162,528.0000,336.0000
163,528.0000,432.0000
164,624.0000,-336.0000
165,624.0000,-240.0000
166,624.0000,-144.0000
167,624.0000,-48.0000
168,624.0000,48.0000
169,624.0000,144.0000
170,624.0000,240.0000
171,624.0000,336.0000
